505.460,5.160,42.498
503.969,5.090,42.548
502.466,5.020,42.598
500.961,4.956,42.643
499.464,4.891,42.688
497.966,4.831,42.733
496.474,4.771,42.777
494.983,4.711,42.827
493.479,4.652,42.877
491.975,4.592,42.922
490.477,4.532,42.967
488.979,4.472,43.012
487.487,4.412,43.056
485.995,4.353,43.106
484.492,4.293,43.156
482.988,4.233,43.201
481.496,4.173,43.246
480.004,4.113,43.295
478.501,4.054,43.345
476.997,3.994,43.391
475.498,3.934,43.435
474.000,3.874,43.480
472.508,3.814,43.525
471.017,3.755,43.574
469.520,3.695,43.624
468.022,3.635,43.674
466.524,3.575,43.724
465.026,3.515,43.773
463.534,3.456,43.823
462.043,3.396,43.877
460.558,3.336,43.932
459.073,3.276,43.995
457.577,3.216,44.059
456.080,3.157,44.124
454.583,3.097,44.189
453.085,3.037,44.254
451.588,2.977,44.319
450.091,2.917,44.383
448.600,2.858,44.448
447.109,2.798,44.517
445.607,2.738,44.587
444.104,2.678,44.652
442.611,2.618,44.717
441.121,2.559,44.786
439.619,2.499,44.856
438.115,2.439,44.922
436.623,2.379,44.986
435.132,2.319,45.055
433.631,2.260,45.125
432.128,2.200,45.191
430.635,2.140,45.256
429.144,2.080,45.324
427.642,2.020,45.394
426.139,1.961,45.460
424.641,1.901,45.524
423.144,1.841,45.589
421.652,1.781,45.654
420.161,1.722,45.722
418.660,1.662,45.792
417.157,1.602,45.858
415.659,1.542,45.923
414.162,1.482,45.988
412.669,1.422,46.053
411.178,1.363,46.121
409.678,1.303,46.191
408.175,1.243,46.257
406.676,1.183,46.322
405.179,1.124,46.387
403.686,1.064,46.451
402.196,1.004,46.520
400.696,0.944,46.590
399.192,0.884,46.656
397.693,0.824,46.721
396.196,0.765,46.786
394.703,0.705,46.850
393.213,0.645,46.918
391.713,0.586,46.988
390.210,0.526,47.054
388.711,0.466,47.119
387.213,0.410,47.184
385.707,0.355,47.249
384.197,0.304,47.307
382.677,0.254,47.363
381.153,0.211,47.404
379.625,0.171,47.440
378.094,0.138,47.457
376.576,0.109,47.467
375.064,0.089,47.470
373.552,0.074,47.470
372.039,0.063,47.463
370.532,0.053,47.453
369.026,0.046,47.439
367.529,0.042,47.424
366.035,0.037,47.413
364.533,0.032,47.403
363.027,0.030,47.389
361.530,0.030,47.375
360.036,0.030,47.363
358.538,0.030,47.353
357.039,0.027,47.343
355.535,0.022,47.333
354.029,0.020,47.320
352.531,0.020,47.305
351.038,0.020,47.293
349.540,0.020,47.283
348.040,0.020,47.273
346.537,0.020,47.263
345.031,0.017,47.250
343.533,0.012,47.235
342.039,0.007,47.223
340.538,0.002,47.213
339.032,0.000,47.200
337.534,0.000,47.185
336.041,0.000,47.173
334.543,0.000,47.164
333.043,0.000,47.154
331.544,0.000,47.144
330.044,0.000,47.134
328.540,0.000,47.124
327.034,0.000,47.110
325.536,0.000,47.096
324.043,0.000,47.084
322.545,0.000,47.074
321.046,0.000,47.064
319.542,0.000,47.054
318.036,0.000,47.041
316.538,0.000,47.026
315.044,0.000,47.014
313.543,0.000,47.004
312.037,0.000,46.991
310.539,0.000,46.976
309.045,0.000,46.964
307.548,0.000,46.954
306.048,0.000,46.944
304.549,0.000,46.934
303.049,0.000,46.924
301.546,0.000,46.914
300.040,0.000,46.901
298.541,0.000,46.886
297.048,0.003,46.874
295.547,0.008,46.864
294.041,0.013,46.851
292.535,0.018,46.836
291.029,0.026,46.818
289.516,0.036,46.798
287.998,0.051,46.770
286.480,0.071,46.734
284.962,0.097,46.691
283.444,0.126,46.640
281.927,0.167,46.581
280.414,0.217,46.516
278.904,0.270,46.445
277.405,0.325,46.370
275.915,0.382,46.298
274.417,0.442,46.229
272.914,0.502,46.156
271.417,0.561,46.081
269.927,0.621,46.009
268.430,0.681,45.939
266.927,0.738,45.867
265.430,0.793,45.792
263.939,0.848,45.720
262.442,0.903,45.650
260.938,0.948,45.578
259.438,0.983,45.503
257.941,1.012,45.428
256.446,1.037,45.353
254.954,1.057,45.281
253.456,1.072,45.211
251.952,1.082,45.139
250.451,1.087,45.064
248.953,1.092,44.989
247.458,1.097,44.915
245.966,1.100,44.842
244.471,1.100,44.773
242.973,1.102,44.703
241.472,1.107,44.633
239.968,1.112,44.560
238.467,1.117,44.485
236.969,1.120,44.411
235.474,1.120,44.336
233.982,1.122,44.264
232.485,1.127,44.194
230.981,1.130,44.122
229.479,1.130,44.047
227.981,1.130,43.972
226.486,1.130,43.898
224.994,1.130,43.825
223.497,1.130,43.755
221.993,1.130,43.683
220.494,1.130,43.608
219.002,1.130,43.536
217.505,1.130,43.466
216.001,1.130,43.394
214.502,1.130,43.319
213.010,1.128,43.247
211.513,1.123,43.177
210.008,1.120,43.105
208.507,1.120,43.030
207.009,1.120,42.955
205.514,1.120,42.880
204.022,1.120,42.808
202.525,1.120,42.738
201.020,1.120,42.666
199.521,1.120,42.591
198.030,1.120,42.518
196.533,1.120,42.449
195.029,1.120,42.377
193.527,1.120,42.302
192.029,1.120,42.227
190.531,1.120,42.152
189.033,1.120,42.077
187.529,1.120,42.002
186.012,1.120,41.921
184.489,1.120,41.829
182.954,1.120,41.726
181.417,1.120,41.602
